Exercise,Multiplier,Phrase
"Shuffleboard, lawn bowling",0.022692308,shuffleboarding.
Sitting,0.006538462,sitting.
"Sitting, reading or watching TV",0.008,"Sitting, reading or watching TV"
"Sitting, playing with children, light",0.018974359,"Sitting, playing with children, light"
Skateboarding,0.037820513,skateboarding.
"Skating, ice, 9 mph or less",0.041666667,ice skating.
"Skating, ice, general",0.052948718,"Skating, ice, general"
"Skating, ice, rapidly, > 9 mph",0.068076923,"Skating, ice, rapidly, > 9 mph"
"Skating, ice, speed, competitive",0.113461538,speed skating.
"Skating, roller",0.052948718,roller skating.
"Ski jumping, climb up carrying skis",0.052948718,ski jumping.
"Ski machine, general",0.071923077,"Ski machine, general"
"Skiing, cross-country",0.053229167,cross country skiing.
"Skiing, cross-country, >8.0 mph, racing",0.105897436,"Skiing, cross-country, >8.0 mph, racing"
"Skiing, cross-country, moderate effort",0.060512821,"Skiing, cross-country, moderate effort"
"Skiing, cross-country, slow or light effort",0.052948718,"Skiing, cross-country, slow or light effort"
"Skiing, cross-country, uphill, maximum effort",0.124871795,"Skiing, cross-country, uphill, maximum effort"
"Skiing, cross-country, vigorous effort",0.068076923,"Skiing, cross-country, vigorous effort"
"Skiing, downhill",0.038020833,downhill skiing.
"Skiing, downhill, light effort",0.037820513,"Skiing, downhill, light effort"
"Skiing, downhill, moderate effort",0.045384615,"Skiing, downhill, moderate effort"
"Skiing, downhill, vigorous effort, racing",0.060512821,"Skiing, downhill, vigorous effort, racing"
"Skiing, snow, general",0.052948718,snow skiing.
"Skiing, water",0.045625,water skiing.
"Ski-mobiling, water",0.052948718,ski-mobiling.
"Skin diving, scuba diving, general",0.052948718,scuba diving.
Skipping with rope,0.054615385,rope skipping.
"Sledding, tobogganing, bobsledding, luge",0.052948718,sledding.
Sleeping,0.004230769,sleeping.
Snorkeling,0.037820513,snorkeling.
Snow shoeing,0.060512821,snow shoeing.
"Snow shoveling, heavy",0.131428571,shoveling heavy snow.
"Snow shoveling, light",0.075238095,shoveling light snow.
Snowmobiling,0.026538462,snowmobiling.
"Soccer, casual, general",0.052948718,soccer.
"Soccer, competitive",0.075641026,competitive soccer.
Softball or baseball,0.038020833,baseball.
"Softball or baseball, fast or slow pitch",0.037820513,softball.
"Softball, officiating",0.045384615,officiating softball game.
"Squash, exercise",0.050769231,squash.
"Squash, game",0.090769231,squash.
"Stair Climbing, normal speed",0.056190476,stair climbing.
Stair treadmill,0.0684375,stair treadmill.
Standing,0.007692308,standing.
"Standing, packing/unpacking boxes",0.026538462,packing boxes.
Step Aerobics,0.043076923,step aerobics.
"Stretching, hatha yoga",0.03025641,hatha yoga.
"Surfing, body or board",0.022692308,surfing.
"Sweeping garage, sidewalk",0.03025641,sweeping.
Swimming (crawl and moderate pace),0.065,Swimming (crawl and moderate pace)
"Swimming laps, freestyle, fast, vigorous effort",0.075641026,"Swimming laps, freestyle, fast, vigorous effort"
"Swimming laps, freestyle, light/moderate effort",0.060512821,"Swimming laps, freestyle, light/moderate effort"
"Swimming, active",0.039230769,"Swimming, active"
"Swimming, backstroke, general",0.060512821,"Swimming, backstroke, general"
"Swimming, breaststroke, general",0.075641026,"Swimming, breaststroke, general"
"Swimming, butterfly, general",0.083205128,"Swimming, butterfly, general"
"Swimming, laps",0.053229167,"Swimming, laps"
"Swimming, leisurely, general",0.045384615,"Swimming, leisurely, general"
"Swimming, sidestroke, general",0.060512821,"Swimming, sidestroke, general"
"Swimming, sychronized",0.060512821,"Swimming, sychronized"
"Swimming, treading water, fast/vigorous",0.075641026,"Swimming, treading water, fast/vigorous"
"Swimming, treading water, moderate effort",0.03025641,"Swimming, treading water, moderate effort"
"Table tennis, ping pong",0.03025641,ping pong.
Tae kwon do,0.076041667,Tae kwon do.
Tai chi,0.030416667,Tai chi.
Teaching aerobics class,0.045384615,teaching an aerobics class.
"Tennis, game, singles",0.074285714,tennis.
"Tennis, game, doubles",0.045384615,doubles tennis.
"Tennis, general",0.052948718,tennis.
Unicycling,0.037820513,unicyling.
Volleyball,0.030416667,volleyball.
"Volleyball, beach",0.060512821,beach volleyball.
"Volleyball, competitive, in gymnasium",0.03025641,competitive volleyball.
"Volleyball, noncompetitive; 6-9 member team",0.022692308,volleyball.
"Walk/run, playing with children, moderate",0.03025641,playing with children.
"Walk/run, playing with children, vigorous",0.037820513,playing with crazy children.
Walking,0.054166667,walking.
Walking (15 min/mile),0.0352,speed walking.
Walking upstairs,0.12,walking up stairs.
"Walking, 2 mph",0.0190625,slow walking.
"Walking, 2.0 mph, slow pace",0.018974359,slow walking.
"Walking, 3.0 mph, mod. pace, walking dog",0.026538462,walking the dog.
"Walking, 3.5 mph",0.028854167,"Walking, 3.5 mph"
"Walking, 3.5 mph, uphill",0.045384615,"Walking, 3.5 mph, uphill"
"Walking, 3mph",0.021538462,"Walking, 3mph"
"Walking, 4.0 mph, very brisk pace",0.03025641,speed walking.
"Walking, carrying infant or 15-lb load",0.026538462,walking with a baby.
"Walking, grass track",0.037820513,speed walking around a track.
"Walking, upstairs",0.060512821,walking up stairs.
"Walking, using crutches",0.03025641,walking with crutches.
"Wallyball, general",0.052948718,wallyball.
Water Aerobics,0.030769231,water aerobics.
Water polo,0.075641026,water polo.
Water volleyball,0.022692308,water volleyball.
"Weight lifting or body building, vigorous effort",0.045384615,heavy weight lifting.
"Weight lifting, light or moderate effort",0.022692308,light weight lifting.
Weight Training,0.055,weight training.
"Weightlifting, free weight, Nautilus or universal type",0.0228125,weight training.
"Whitewater rafting, kayaking, or canoeing",0.037820513,whitewater sports.
